proteinID,description,modelnotes,defline
309686,GT71,fragment C-term;,Glycosyltransferase Family 71 protein
310676,GT8,fragment C-term;,Glycosyltransferase Family 8 protein
310828,CE15,fragment C-term;,Carbohydrate Esterase Family 15 protein
311269,GH5_7,fragment C-term;,Glycoside Hydrolase Family 5 protein
312082,GH5_7,fragment C-term;,Glycoside Hydrolase Family 5 protein
312304,CBM18-CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
313013,CE4,fragment N-term / C-term;,Carbohydrate Esterase Family 4 protein
313690,CE4,,Carbohydrate Esterase Family 4 protein
314186,GH10,fragment N-term;,Glycoside Hydrolase Family 10 protein
314409,CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
314474,GH114,fragment C-term;,Glycoside Hydrolase Family 114 protein
314480,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
316539,GT34,fragment N-term / C-term;,Glycosyltransferase Family 34 protein
318257,GH5_7,fragment C-term;,Glycoside Hydrolase Family 5 protein
318821,CE4,,Carbohydrate Esterase Family 4 protein
322933,GT71,fragment C-term;,Glycosyltransferase Family 71 protein
322960,GH114,fragment C-term;,Glycoside Hydrolase Family 114 protein
324317,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
325716,GH5_5,,Glycoside Hydrolase Family 5 protein
327242,GH5_5,fragment C-term;,Glycoside Hydrolase Family 5 protein
327394,CE4,fragment C-term;,Carbohydrate Esterase Family 4 protein
329007,CE4,,Carbohydrate Esterase Family 4 protein
329391,GT71,fragment C-term;,Glycosyltransferase Family 71 protein
333454,CE4,fragment C-term;,Carbohydrate Esterase Family 4 protein
335074,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
336138,GT71,fragment C-term;,Glycosyltransferase Family 71 protein
337478,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
337496,CBM18-CBM18,fragment C-term;,Carbohydrate-Binding Module Family 18 protein
337657,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
338160,GT71,fragment C-term;,Glycosyltransferase Family 71 protein
339068,CE4,fragment C-term;,Carbohydrate Esterase Family 4 protein
339441,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
342393,CBM48,fragment N-term / C-term;,Carbohydrate-Binding Module Family 48 protein
342631,GT71,fragment C-term;,Glycosyltransferase Family 71 protein
343779,CBM18-CBM18-CE4,fragment C-term;,Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
344317,CE4,,Carbohydrate Esterase Family 4 protein
345147,GT4,fragment C-term;,Glycosyltransferase Family 4 protein
345523,CBM48,fragment N-term;,Carbohydrate-Binding Module Family 48 protein
346426,GH5_7,fragment C-term;,Glycoside Hydrolase Family 5 protein
349929,EXPN,fragment N-term;,Distantly related to plant expansins
350870,CE4,,Carbohydrate Esterase Family 4 protein
354276,GT2,,Glycosyltransferase Family 2 protein
356092,EXPN,fragment N-term;,Distantly related to plant expansins
356683,GT4,fragment C-term;,Glycosyltransferase Family 4 protein
356754,CE4,,Carbohydrate Esterase Family 4 protein
357265,CBM48,fragment N-term / C-term;,Carbohydrate-Binding Module Family 48 protein
360198,CE4,,Carbohydrate Esterase Family 4 protein
360551,GH10,fragment N-term / C-term;,Glycoside Hydrolase Family 10 protein
360664,DOC2-DOC2,,Non-Catalytic Module Family DOC2
360776,DOC2-DOC2,,Non-Catalytic Module Family DOC2
360844,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
361241,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
362803,CE12,fragment C-term;,Carbohydrate Esterase Family 12 protein
363480,DOC2-DOC2,,Non-Catalytic Module Family DOC2
363666,GH5_4,,Glycoside Hydrolase Family 5 protein
365162,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
365244,GH10,fragment N-term / C-term;,Glycoside Hydrolase Family 10 protein
365280,CE8,fragment N-term / C-term;,Carbohydrate Esterase Family 8 protein
365312,DOC2-DOC2,,Non-Catalytic Module Family DOC2
365533,CE4,fragment N-term;,Carbohydrate Esterase Family 4 protein
365664,DOC2-DOC2,,Non-Catalytic Module Family DOC2
365833,DOC2-DOC2,,Non-Catalytic Module Family DOC2
366334,DOC2-DOC2,,Non-Catalytic Module Family DOC2
366694,GH5_4,,Glycoside Hydrolase Family 5 protein
367198,GH11-GH11,,Glycoside Hydrolase Family 11 protein
367649,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
368521,GH5_4,,Glycoside Hydrolase Family 5 protein
368553,DOC2-DOC2,,Non-Catalytic Module Family DOC2
368822,DOC2-DOC2,,Non-Catalytic Module Family DOC2
368825,GH11,fragment N-term;,Glycoside Hydrolase Family 11 protein
369784,DOC2-DOC2,,Non-Catalytic Module Family DOC2
369804,DOC2-DOC2,,Non-Catalytic Module Family DOC2
369974,GH10,fragment N-term / C-term;,Glycoside Hydrolase Family 10 protein
369990,DOC2-DOC2,,Non-Catalytic Module Family DOC2
370122,DOC2-DOC2,,Non-Catalytic Module Family DOC2
370499,DOC2-DOC2,,Non-Catalytic Module Family DOC2
370841,GH10,fragment N-term / C-term;,Glycoside Hydrolase Family 10 protein
370991,DOC2-DOC2,,Non-Catalytic Module Family DOC2
371464,DOC2-DOC2,,Non-Catalytic Module Family DOC2
371894,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
372132,DOC2-DOC2,,Non-Catalytic Module Family DOC2
372237,DOC2-DOC2,,Non-Catalytic Module Family DOC2
372479,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
372580,DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
372955,DOC2-DOC2,,Non-Catalytic Module Family DOC2
374168,DOC2-DOC2,,Non-Catalytic Module Family DOC2
374429,CE2,,Carbohydrate Esterase Family 2 protein
374433,GH1,,Glycoside Hydrolase Family 1 protein
374437,GH1,,Glycoside Hydrolase Family 1 protein
374438,GH1,,Glycoside Hydrolase Family 1 protein
374445,GH1,,Glycoside Hydrolase Family 1 protein
374643,PL1,,Polysaccharide Lyase Family 1 protein
374999,GH3-DOC2-DOC2,,Glycoside Hydrolase Family 3  / Non-Catalytic Module Family DOC2
375026,CE4,,Carbohydrate Esterase Family 4 protein
375096,GH5_5-CBM10-CBM10-CBM1,,Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 10 protein
375638,DOC2-GH26-DOC2,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 26 protein
375710,CE6-DOC2-DOC2,,Carbohydrate Esterase Family 6  / Non-Catalytic Module Family DOC2
375792,GH74-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 74  / Non-Catalytic Module Family DOC2
376263,CBM18-CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
376583,CE4,,Carbohydrate Esterase Family 4 protein
376920,CBM1-GH6,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
377020,GH11-CBM1,,Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
377234,EXPN,,Distantly related to plant expansins
377479,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
377594,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
377664,GH10,,Glycoside Hydrolase Family 10 protein
378142,GH114,,Glycoside Hydrolase Family 114 protein
378276,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
378655,GT2,,Glycosyltransferase Family 2 protein
378805,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
378816,CE4,,Carbohydrate Esterase Family 4 protein
378832,GT71,fragment C-term;,Glycosyltransferase Family 71 protein
379117,GT4,,Glycosyltransferase Family 4 protein
379344,GT4,,Glycosyltransferase Family 4 protein
379437,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
379692,GH124-DOC2-DOC2,,Glycoside Hydrolase Family 124  / Non-Catalytic Module Family DOC2
380117,CE6-CBM1,,Carbohydrate Esterase Family 6  / Carbohydrate-Binding Module Family 1 protein
380149,GH45,,Glycoside Hydrolase Family 45 protein
380374,EXPN,,Distantly related to plant expansins
380429,GH18,,Glycoside Hydrolase Family 18 protein
380606,CBM50-CBM50-CE4,,Carbohydrate-Binding Module Family 50  / Carbohydrate Esterase Family 4 protein
381145,GH10-CBM29-CBM29-CBM29-CBM29-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 29  / Non-Catalytic Module Family DOC2
381510,CE4,,Carbohydrate Esterase Family 4 protein
381575,DOC2-DOC2-DOC2-EXPN,,Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
381636,GH16,,Glycoside Hydrolase Family 16 protein
381885,GT1,,Glycosyltransferase Family 1 protein
382173,GH9-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
382215,GH114,fragment C-term;,Glycoside Hydrolase Family 114 protein
382256,GT34,,Glycosyltransferase Family 34 protein
382482,GH11-CBM1,,Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
382578,DOC2-DOC2-DOC2-CBM29-CBM29,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 29 protein
382808,GH16,,Glycoside Hydrolase Family 16 protein
382908,DOC2-DOC2-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
383003,GT20,,Glycosyltransferase Family 20 protein
383097,CBM1-GH6,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
383222,GH114-CBM18,,Glycoside Hydrolase Family 114  / Carbohydrate-Binding Module Family 18 protein
383247,GH114,,Glycoside Hydrolase Family 114 protein
383260,GH32,,Glycoside Hydrolase Family 32 protein
383317,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
383322,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
383400,GH114,,Glycoside Hydrolase Family 114 protein
383415,GH114-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 114  / Non-Catalytic Module Family DOC2
383447,DOC2-DOC2,,Non-Catalytic Module Family DOC2
383554,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
383666,CBM1-GH6,,Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
383785,CBM1-PL3_2,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
383935,GH1,,Glycoside Hydrolase Family 1 protein
383942,GH1,,Glycoside Hydrolase Family 1 protein
384271,DOC2-DOC2-EXPN,,Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
384392,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
384688,CBM1-PL3_2,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
384739,GT8,,Glycosyltransferase Family 8 protein
384890,GT66,fragment C-term;,Glycosyltransferase Family 66 protein
384949,GH10-CBM1,,Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
384959,CE6-CBM1,,Carbohydrate Esterase Family 6  / Carbohydrate-Binding Module Family 1 protein
384989,DOC2-DOC2,,Non-Catalytic Module Family DOC2
384994,GH13,,Glycoside Hydrolase Family 13 protein
385151,CBM48-GH13_8,,Carbohydrate-Binding Module Family 48  / Glycoside Hydrolase Family 13 protein
385260,GH10,fragment C-term;,Glycoside Hydrolase Family 10 protein
385326,CBM1-PL3_2,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
385462,DOC2-DOC2-CBM13-GH95,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 13  / Glycoside Hydrolase Family 95 protein
385667,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
385759,DOC2-DOC2,,Non-Catalytic Module Family DOC2
385801,DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-CBM1,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
385984,GH3-DOC2-GH6-DOC2-DOC2,,Glycoside Hydrolase Family 3  / Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
386123,CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
386199,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
386237,GH48-DOC2-DOC2,,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
386240,GH48-DOC2-DOC2,,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
386262,GT34,fragment C-term;,Glycosyltransferase Family 34 protein
386646,DOC2-DOC2-GH5_4-GH5_4-GH5_4-DOC2-DOC2,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
386670,CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
386676,DOC2-DOC2-GH16,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 16 protein
386877,DOC2-DOC2-DOC2,fragment N-term;,Non-Catalytic Module Family DOC2
386889,DOC2-DOC2-GH45,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
386980,GH38,,Glycoside Hydrolase Family 38 protein
387004,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
387540,GT2,fragment N-term;,Glycosyltransferase Family 2 protein
387693,DOC2-DOC2-DOC2-EXPN,,Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
388081,CE4,,Carbohydrate Esterase Family 4 protein
388095,GH18-DOC2-DOC2,,Glycoside Hydrolase Family 18  / Non-Catalytic Module Family DOC2
388262,CBM18-CBM18-CBM18-GH18,,Carbohydrate-Binding Module Family 18  / Glycoside Hydrolase Family 18 protein
388288,DOC2-DOC2-CBM1-CBM1-CBM1-CBM1-CBM1-CBM1,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
388331,CBM35-GH26-DOC2-DOC2,,Carbohydrate-Binding Module Family 35  / Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
388381,GH48-DOC2-DOC2,,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
388522,GH11-CBM1,fragment N-term;,Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
388573,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
388625,GH5_4,fragment C-term;,Glycoside Hydrolase Family 5 protein
388629,GH9-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
388844,DOC2-DOC2-CBM13-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 13  / Carbohydrate Esterase Family 1 protein
388909,GH3,,Glycoside Hydrolase Family 3 protein
389008,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
389105,GH13_25-GH133,,Glycoside Hydrolase Family 13  / Glycoside Hydrolase Family 133 protein
389134,GT39,,Glycosyltransferase Family 39 protein
389271,GH3,fragment C-term;,Glycoside Hydrolase Family 3 protein
389290,GT4,,Glycosyltransferase Family 4 protein
389496,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
389498,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
389504,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
389665,DOC2-DOC2-DOC2-GH9,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 9 protein
389696,CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
389728,DOC2,,Non-Catalytic Module Family DOC2
389729,DOC2-DOC2,,Non-Catalytic Module Family DOC2
389827,CBM18,,Carbohydrate-Binding Module Family 18 protein
389999,GH9-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
390208,GH3,,Glycoside Hydrolase Family 3 protein
390323,DOC2-DOC2,,Non-Catalytic Module Family DOC2
390382,CBM48-GH13_8,,Carbohydrate-Binding Module Family 48  / Glycoside Hydrolase Family 13 protein
390444,GH5_4-DOC2-DOC2,,Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
390649,CBM1-DOC2-DOC2-CBM1-CBM1-CBM1,,Carbohydrate-Binding Module Family 1  / Non-Catalytic Module Family DOC2
390705,GH48-DOC2-DOC2,,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
390877,GH9-DOC2-DOC2,,Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
390947,DOC2-DOC2-DOC2-GH5_1,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
391416,DOC2-DOC2-CBM1-GH45,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 45 protein
391646,EXPN,,Distantly related to plant expansins
391749,GH18,,Glycoside Hydrolase Family 18 protein
391851,DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-CBM1,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
391852,GH5_7-CBM1-DOC2-DOC2,,Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 1  / Non-Catalytic Module Family DOC2
391970,GH43,,Glycoside Hydrolase Family 43 protein
392060,GT58,,Glycosyltransferase Family 58 protein
392147,GH5_4-GH5_4-GH5_4-DOC2-DOC2,fragment N-term;,Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
392213,GH11-CBM1,,Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
392218,GH11-CBM1,fragment N-term;,Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
392363,DOC2-DOC2,,Non-Catalytic Module Family DOC2
392567,GT24,,Glycosyltransferase Family 24 protein
392576,DOC2-DOC2-GH43-GH43-GH43-GH43,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 43 protein
392622,DOC2-DOC2,,Non-Catalytic Module Family DOC2
392645,CBM35-GH26-DOC2-DOC2-DOC2-DOC2-DOC2,,Carbohydrate-Binding Module Family 35  / Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
392758,CE4,,Carbohydrate Esterase Family 4 protein
392855,GH3,,Glycoside Hydrolase Family 3 protein
392871,EXPN-CBM63,,Distantly related to plant expansins / Carbohydrate-Binding Module Family 63 protein
393040,DOC2-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
393123,GH31,,Glycoside Hydrolase Family 31 protein
393138,GH9-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
393333,CBM10-GH5_5-DOC2-DOC2,,Carbohydrate-Binding Module Family 10  / Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
393374,GH1,,Glycoside Hydrolase Family 1 protein
393425,CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
