#proteinId	gotermId	goName	gotermType	goAcc
21001	3878	spliceosome	cellular_component	GO:0005681
80933	4602	protein amino acid phosphorylation	biological_process	GO:0006468
80933	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
80933	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
80933	21736	[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity	molecular_function	GO:0047322
81093	3724	calcium ion binding	molecular_function	GO:0005509
81093	3736	ATP binding	molecular_function	GO:0005524
81093	4927	transport	biological_process	GO:0006810
81093	9321	integral to membrane	cellular_component	GO:0016021
81093	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
81093	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
81093	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
81093	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
81093	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
81093	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
81499	3727	protein binding	molecular_function	GO:0005515
81499	4595	protein complex assembly	biological_process	GO:0006461
81499	4994	intracellular protein transport	biological_process	GO:0006886
81499	9480	vesicle-mediated transport	biological_process	GO:0016192
81499	13011	membrane coat	cellular_component	GO:0030117
81499	6575	phospho-N-acetylmuramoyl-pentapeptide-transferase activity	molecular_function	GO:0008963
81499	6856	peptidoglycan biosynthetic process	biological_process	GO:0009252
81499	9320	membrane	cellular_component	GO:0016020
81499	14021	phosphopantetheine binding	molecular_function	GO:0031177
81499	6212	protein transporter activity	molecular_function	GO:0008565
81499	13025	clathrin adaptor complex	cellular_component	GO:0030131
81499	3708	binding	molecular_function	GO:0005488
81564	12037	small conjugating protein ligase activity	molecular_function	GO:0019787
81564	19152	post-translational protein modification	biological_process	GO:0043687
81564	24495	regulation of protein metabolic process	biological_process	GO:0051246
81564	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
81564	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
81564	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
81564	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
81564	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
81602	4598	protein modification process	biological_process	GO:0006464
81631	4143	carbohydrate metabolic process	biological_process	GO:0005975
81631	3117	ribose-5-phosphate isomerase activity	molecular_function	GO:0004751
81647	3228	signal transducer activity	molecular_function	GO:0004871
81647	4019	heterotrimeric G-protein complex	cellular_component	GO:0005834
81647	5270	G-protein coupled receptor protein signaling pathway	biological_process	GO:0007186
81773	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
81773	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
81773	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
81773	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
81773	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
81971	3004	phospholipase D activity	molecular_function	GO:0004630
82039	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
82039	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
82039	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
82039	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
82039	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
82127	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
82127	4143	carbohydrate metabolic process	biological_process	GO:0005975
82287	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
82287	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
82287	3048	DNA-dependent protein kinase activity	molecular_function	GO:0004677
82287	3049	AMP-activated protein kinase activity	molecular_function	GO:0004679
82287	3050	casein kinase activity	molecular_function	GO:0004680
82287	3051	casein kinase I activity	molecular_function	GO:0004681
82287	3057	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
82287	3061	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
82287	3062	galactosyltransferase-associated kinase activity	molecular_function	GO:0004695
82287	3063	glycogen synthase kinase 3 activity	molecular_function	GO:0004696
82287	3065	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
82287	3067	atypical protein kinase C activity	molecular_function	GO:0004700
82287	3068	receptor signaling protein serine/threonine kinase activity	molecular_function	GO:0004702
82287	3070	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
82287	3071	JUN kinase activity	molecular_function	GO:0004705
82287	3072	JUN kinase kinase kinase activity	molecular_function	GO:0004706
82287	3074	MAP kinase kinase activity	molecular_function	GO:0004708
82287	3076	MAP/ERK kinase kinase activity	molecular_function	GO:0004710
82287	3077	ribosomal protein S6 kinase activity	molecular_function	GO:0004711
82287	3084	Janus kinase activity	molecular_function	GO:0004718
82287	6004	MAP kinase 1 activity	molecular_function	GO:0008338
82287	6005	MP kinase activity	molecular_function	GO:0008339
82287	6015	MAP kinase kinase kinase kinase activity	molecular_function	GO:0008349
82287	6196	JUN kinase kinase activity	molecular_function	GO:0008545
82287	10102	MAP kinase 2 activity	molecular_function	GO:0016908
82287	10103	SAP kinase activity	molecular_function	GO:0016909
82287	11472	transmembrane receptor protein kinase activity	molecular_function	GO:0019199
82287	12154	cyclin-dependent protein kinase activating kinase activity	molecular_function	GO:0019912
82287	17037	GTP-dependent protein kinase activity	molecular_function	GO:0034211
82493	2176	DNA binding	molecular_function	GO:0003677
82493	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
82493	9964	transferase activity, transferring alkyl or aryl (other than methyl) groups	molecular_function	GO:0016765
82493	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
82493	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
82493	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
82493	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
82493	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
82557	3727	protein binding	molecular_function	GO:0005515
82557	2460	adenylate cyclase activity	molecular_function	GO:0004016
82557	5962	calcium- and calmodulin-responsive adenylate cyclase activity	molecular_function	GO:0008294
82598	4283	electron transport	biological_process	GO:0006118
82598	6664	electron carrier activity	molecular_function	GO:0009055
82598	3043	protein kinase activity	molecular_function	GO:0004672
82598	3736	ATP binding	molecular_function	GO:0005524
82598	4602	protein amino acid phosphorylation	biological_process	GO:0006468
82598	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
82598	3052	protein kinase CK2 activity	molecular_function	GO:0004682
82715	2216	RNA binding	molecular_function	GO:0003723
82948	6600	rRNA (guanine-N1-)-methyltransferase activity	molecular_function	GO:0008989
83085	3724	calcium ion binding	molecular_function	GO:0005509
83085	2290	catalytic activity	molecular_function	GO:0003824
83085	3708	binding	molecular_function	GO:0005488
83085	5830	metabolic process	biological_process	GO:0008152
83442	3727	protein binding	molecular_function	GO:0005515
83442	5939	zinc ion binding	molecular_function	GO:0008270
86757	3737	GTP binding	molecular_function	GO:0005525
86757	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
86757	2378	GTPase activity	molecular_function	GO:0003924
86757	3727	protein binding	molecular_function	GO:0005515
86757	4994	intracellular protein transport	biological_process	GO:0006886
86757	5019	nucleocytoplasmic transport	biological_process	GO:0006913
86757	5250	signal transduction	biological_process	GO:0007165
86757	3736	ATP binding	molecular_function	GO:0005524
86757	3827	intracellular	cellular_component	GO:0005622
86757	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
86757	5814	transcription factor binding	molecular_function	GO:0008134
86757	8400	protein transport	biological_process	GO:0015031
87082	3425	Rho guanyl-nucleotide exchange factor activity	molecular_function	GO:0005089
87082	3827	intracellular	cellular_component	GO:0005622
87082	17205	regulation of Rho protein signal transduction	biological_process	GO:0035023
87082	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
87082	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
87082	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
87082	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
87082	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
87797	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
87797	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
87797	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
87797	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
87797	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
87860	3530	structural molecule activity	molecular_function	GO:0005198
87860	5240	cell adhesion	biological_process	GO:0007155
87860	8947	actin cytoskeleton	cellular_component	GO:0015629
87893	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
87893	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
87893	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
87893	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
87893	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
88251	9321	integral to membrane	cellular_component	GO:0016021
88522	3530	structural molecule activity	molecular_function	GO:0005198
88819	2233	peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0003755
88819	2975	cyclophilin	molecular_function	GO:0004600
88819	12948	FK506-sensitive peptidyl-prolyl cis-trans isomerase	molecular_function	GO:0030051
88819	17567	cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0042027
89764	4037	cytoskeleton	cellular_component	GO:0005856
89764	5015	phagocytosis	biological_process	GO:0006909
89795	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
89795	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
89795	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
89795	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
89795	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
90279	3708	binding	molecular_function	GO:0005488
90279	6214	dynein ATPase activity	molecular_function	GO:0008567
90388	5270	G-protein coupled receptor protein signaling pathway	biological_process	GO:0007186
90388	5753	metabotropic glutamate, GABA-B-like receptor activity	molecular_function	GO:0008067
90388	9321	integral to membrane	cellular_component	GO:0016021
90890	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
90890	4143	carbohydrate metabolic process	biological_process	GO:0005975
90897	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
90897	4143	carbohydrate metabolic process	biological_process	GO:0005975
90905	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
90905	4143	carbohydrate metabolic process	biological_process	GO:0005975
91065	3421	guanyl-nucleotide exchange factor activity	molecular_function	GO:0005085
91065	3827	intracellular	cellular_component	GO:0005622
91065	24310	regulation of small GTPase mediated signal transduction	biological_process	GO:0051056
91065	3727	protein binding	molecular_function	GO:0005515
91065	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
91685	5747	chitin binding	molecular_function	GO:0008061
91962	2227	structural constituent of ribosome	molecular_function	GO:0003735
91962	3827	intracellular	cellular_component	GO:0005622
91962	4025	ribosome	cellular_component	GO:0005840
91962	4556	translation	biological_process	GO:0006412
91991	2196	transcription factor activity	molecular_function	GO:0003700
91991	3838	nucleus	cellular_component	GO:0005634
91991	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
91991	19030	sequence-specific DNA binding	molecular_function	GO:0043565
91991	21401	protein dimerization activity	molecular_function	GO:0046983
91991	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
91991	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
91991	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
91991	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
91991	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
94125	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
94125	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
94125	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
94125	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
94125	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
94208	3727	protein binding	molecular_function	GO:0005515
94208	4994	intracellular protein transport	biological_process	GO:0006886
94208	4996	ER to Golgi vesicle-mediated transport	biological_process	GO:0006888
94208	5939	zinc ion binding	molecular_function	GO:0008270
94208	13021	COPII vesicle coat	cellular_component	GO:0030127
94376	18285	3'-tRNA processing endoribonuclease activity	molecular_function	GO:0042781
94523	12147	protein domain specific binding	molecular_function	GO:0019904
94677	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
94677	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
94677	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
94677	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
94677	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
95482	5846	methyltransferase activity	molecular_function	GO:0008168
95482	5854	tRNA (guanine-N7-)-methyltransferase activity	molecular_function	GO:0008176
95503	2241	motor activity	molecular_function	GO:0003774
95503	3736	ATP binding	molecular_function	GO:0005524
95503	9681	myosin complex	cellular_component	GO:0016459
95707	279	1-phosphatidylinositol-3-phosphate 5-kinase activity	molecular_function	GO:0000285
96047	2290	catalytic activity	molecular_function	GO:0003824
96047	19375	cellular metabolic process	biological_process	GO:0044237
96047	23921	coenzyme binding	molecular_function	GO:0050662
96047	3708	binding	molecular_function	GO:0005488
96047	5830	metabolic process	biological_process	GO:0008152
96047	247	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	molecular_function	GO:0000252
96047	21430	sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating) activity	molecular_function	GO:0047012
96407	3546	transporter activity	molecular_function	GO:0005215
96407	4927	transport	biological_process	GO:0006810
96504	2216	RNA binding	molecular_function	GO:0003723
96504	2928	ribonuclease activity	molecular_function	GO:0004540
96504	171	3'-5'-exoribonuclease activity	molecular_function	GO:0000175
96504	2924	5'-3' exoribonuclease activity	molecular_function	GO:0004534
96857	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
96857	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
96857	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
96857	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
96857	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
97074	3708	binding	molecular_function	GO:0005488
97221	92	M phase of mitotic cell cycle	biological_process	GO:0000087
97221	3091	protein tyrosine phosphatase activity	molecular_function	GO:0004725
97221	3827	intracellular	cellular_component	GO:0005622
97221	4604	protein amino acid dephosphorylation	biological_process	GO:0006470
97345	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
97345	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
97345	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
97345	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
97345	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
97421	2805	histone deacetylase activity	molecular_function	GO:0004407
97421	6078	protein N-terminal asparagine amidohydrolase activity	molecular_function	GO:0008418
97421	6380	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity	molecular_function	GO:0008759
97421	11049	iprodione amidohydrolase activity	molecular_function	GO:0018748
97421	11050	(3,5-dichlorophenylurea)acetate amidohydrolase activity	molecular_function	GO:0018749
97421	19211	N2-acetyl-L-lysine deacetylase activity	molecular_function	GO:0043747
97421	19212	O-succinylbenzoate synthase activity	molecular_function	GO:0043748
97421	19328	indoleacetamide hydrolase activity	molecular_function	GO:0043864
97421	21832	N-acetylgalactosamine-6-phosphate deacetylase activity	molecular_function	GO:0047419
97987	2460	adenylate cyclase activity	molecular_function	GO:0004016
97987	5962	calcium- and calmodulin-responsive adenylate cyclase activity	molecular_function	GO:0008294
98074	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
98074	3782	extracellular region	cellular_component	GO:0005576
98074	4143	carbohydrate metabolic process	biological_process	GO:0005975
98074	13137	cellulose binding	molecular_function	GO:0030248
98074	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
98074	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
98074	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
98074	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
98074	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
102869	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
102869	3782	extracellular region	cellular_component	GO:0005576
102869	4143	carbohydrate metabolic process	biological_process	GO:0005975
102869	13137	cellulose binding	molecular_function	GO:0030248
103013	2198	RNA polymerase II transcription factor activity	molecular_function	GO:0003702
103013	3872	transcription factor TFIIE complex	cellular_component	GO:0005673
103013	4515	transcription initiation from RNA polymerase II promoter	biological_process	GO:0006367
103030	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
103030	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
103030	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
103030	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
103030	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
103046	2175	nucleic acid binding	molecular_function	GO:0003676
103046	5939	zinc ion binding	molecular_function	GO:0008270
103320	4591	protein folding	biological_process	GO:0006457
103320	13917	heat shock protein binding	molecular_function	GO:0031072
103320	24336	unfolded protein binding	molecular_function	GO:0051082
103716	3737	GTP binding	molecular_function	GO:0005525
103716	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
103716	3827	intracellular	cellular_component	GO:0005622
103716	8400	protein transport	biological_process	GO:0015031
103875	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
103875	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
103875	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
103875	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
103875	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
104343	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
104343	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
104343	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
104343	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
104343	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
104754	3055	myosin light chain kinase activity	molecular_function	GO:0004687
105370	2450	ATP-dependent DNA helicase activity	molecular_function	GO:0004003
105370	2451	ATP-dependent RNA helicase activity	molecular_function	GO:0004004
105370	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
105370	5778	DNA-dependent ATPase activity	molecular_function	GO:0008094
105370	5860	RNA-dependent ATPase activity	molecular_function	GO:0008186
105370	8800	protein-transmembrane transporting ATPase activity	molecular_function	GO:0015462
105370	10082	ATPase activity	molecular_function	GO:0016887
105370	10273	single-stranded DNA-dependent ATP-dependent DNA helicase activity	molecular_function	GO:0017116
105370	18132	ATPase activity, coupled	molecular_function	GO:0042623
105370	18133	ATPase activity, uncoupled	molecular_function	GO:0042624
105370	18134	ATPase activity, coupled to transmembrane movement of ions	molecular_function	GO:0042625
105370	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
105379	2450	ATP-dependent DNA helicase activity	molecular_function	GO:0004003
105379	2451	ATP-dependent RNA helicase activity	molecular_function	GO:0004004
105379	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
105379	5778	DNA-dependent ATPase activity	molecular_function	GO:0008094
105379	5860	RNA-dependent ATPase activity	molecular_function	GO:0008186
105379	8800	protein-transmembrane transporting ATPase activity	molecular_function	GO:0015462
105379	10082	ATPase activity	molecular_function	GO:0016887
105379	10273	single-stranded DNA-dependent ATP-dependent DNA helicase activity	molecular_function	GO:0017116
105379	18132	ATPase activity, coupled	molecular_function	GO:0042623
105379	18133	ATPase activity, uncoupled	molecular_function	GO:0042624
105379	18134	ATPase activity, coupled to transmembrane movement of ions	molecular_function	GO:0042625
105379	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
105387	3727	protein binding	molecular_function	GO:0005515
105555	2826	1-phosphatidylinositol 4-kinase activity	molecular_function	GO:0004430
105765	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
105765	4143	carbohydrate metabolic process	biological_process	GO:0005975
105875	5747	chitin binding	molecular_function	GO:0008061
106033	2290	catalytic activity	molecular_function	GO:0003824
106033	3736	ATP binding	molecular_function	GO:0005524
106033	5830	metabolic process	biological_process	GO:0008152
106058	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
106058	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
106058	3048	DNA-dependent protein kinase activity	molecular_function	GO:0004677
106058	3049	AMP-activated protein kinase activity	molecular_function	GO:0004679
106058	3050	casein kinase activity	molecular_function	GO:0004680
106058	3051	casein kinase I activity	molecular_function	GO:0004681
106058	3057	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
106058	3061	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
106058	3062	galactosyltransferase-associated kinase activity	molecular_function	GO:0004695
106058	3063	glycogen synthase kinase 3 activity	molecular_function	GO:0004696
106058	3065	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
106058	3067	atypical protein kinase C activity	molecular_function	GO:0004700
106058	3068	receptor signaling protein serine/threonine kinase activity	molecular_function	GO:0004702
106058	3070	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
106058	3071	JUN kinase activity	molecular_function	GO:0004705
106058	3072	JUN kinase kinase kinase activity	molecular_function	GO:0004706
106058	3074	MAP kinase kinase activity	molecular_function	GO:0004708
106058	3076	MAP/ERK kinase kinase activity	molecular_function	GO:0004710
106058	3077	ribosomal protein S6 kinase activity	molecular_function	GO:0004711
106058	3084	Janus kinase activity	molecular_function	GO:0004718
106058	6004	MAP kinase 1 activity	molecular_function	GO:0008338
106058	6005	MP kinase activity	molecular_function	GO:0008339
106058	6015	MAP kinase kinase kinase kinase activity	molecular_function	GO:0008349
106058	6196	JUN kinase kinase activity	molecular_function	GO:0008545
106058	10102	MAP kinase 2 activity	molecular_function	GO:0016908
106058	10103	SAP kinase activity	molecular_function	GO:0016909
106058	11472	transmembrane receptor protein kinase activity	molecular_function	GO:0019199
106058	12154	cyclin-dependent protein kinase activating kinase activity	molecular_function	GO:0019912
106058	17037	GTP-dependent protein kinase activity	molecular_function	GO:0034211
106260	3708	binding	molecular_function	GO:0005488
106270	279	1-phosphatidylinositol-3-phosphate 5-kinase activity	molecular_function	GO:0000285
106299	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
106299	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
